event_id,source,post_id,event_index,date,title,status,image_paths,image_dimensions,bad_paths,parse_method
57,idmamaanarchy,866,0,2026-09-19,19.09 | Вадим Курылёв | Воронеж,contains-vk-ui-image,vk_announcements/idmamaanarchy/866-1.jpg,vk_announcements/idmamaanarchy/866-1.jpg:1440x1440,vk_announcements/idmamaanarchy/866-1.jpg [ava=1],vk_html_local_generic_v14_primary_date
58,vavilone_rb,3802,0,2026-10-01,Провожали лето с JJACKS в прекрасном Рок-бар “The last of Vavilone”,clean,vk_announcements/vavilone_rb/3802-1.jpg | vk_announcements/vavilone_rb/3802-2.jpg | vk_announcements/vavilone_rb/3802-3.jpg | vk_announcements/vavilone_rb/3802-4.jpg | vk_announcements/vavilone_rb/3802-5.jpg | vk_announcements/vavilone_rb/3802-6.jpg | vk_announcements/vavilone_rb/3802-7.jpg | vk_announcements/vavilone_rb/3802-8.jpg,vk_announcements/vavilone_rb/3802-1.jpg:640x426 | vk_announcements/vavilone_rb/3802-2.jpg:640x426 | vk_announcements/vavilone_rb/3802-3.jpg:640x426 | vk_announcements/vavilone_rb/3802-4.jpg:640x960 | vk_announcements/vavilone_rb/3802-5.jpg:640x960 | vk_announcements/vavilone_rb/3802-6.jpg:640x1138 | vk_announcements/vavilone_rb/3802-7.jpg:640x426 | vk_announcements/vavilone_rb/3802-8.jpg:640x426,,vk_html_local_generic_v14_primary_date
59,vavilone_rb,4528,0,2026-10-01,Как мы провожали это лето!,clean,vk_announcements/vavilone_rb/4528-1.jpg,vk_announcements/vavilone_rb/4528-1.jpg:640x937,,vk_html_local_generic_v14_primary_date
60,vavilone_rb,4529,0,2026-10-01,Как мы провожали лето!,clean,vk_announcements/vavilone_rb/4529-1.jpg,vk_announcements/vavilone_rb/4529-1.jpg:640x960,,vk_html_local_generic_v14_primary_date
61,rb_diesel,13690,0,2026-10-03,COREFEST #3,clean,vk_announcements/rb_diesel/13690-1.jpg,vk_announcements/rb_diesel/13690-1.jpg:1080x1528,,vk_html_local_structured_v14
62,overlockbar,191,0,2026-10-17,"Декада 00 — мёртвые цветы — алыча (дебют) билеты: voronezh.qtickets.events/257876-traume (300/500) Пушкинская ул., 518:00",clean,vk_announcements/overlockbar/191-1.jpg,vk_announcements/overlockbar/191-1.jpg:640x640,,vk_html_local_generic_v14_primary_date
63,rb_diesel,13726,0,2026-09-25,CHOPSY — SYSTEM OF A DOWN TRIBUTE,clean,vk_announcements/rb_diesel/13726-1.jpg,vk_announcements/rb_diesel/13726-1.jpg:1080x1528,,vk_html_local_structured_v14
64,rb_diesel,13727,0,2026-09-19,Воронеж / Diesel,contains-vk-ui-image,vk_announcements/rb_diesel/13727-2.jpg,vk_announcements/rb_diesel/13727-2.jpg:240x240,vk_announcements/rb_diesel/13727-2.jpg [ava=1],vk_html_local_generic_v14_primary_date
65,idmamaanarchy,1189,0,2026-10-10,Анархия Рок-Паб,clean,vk_announcements/idmamaanarchy/1189-1.jpg,vk_announcements/idmamaanarchy/1189-1.jpg:1080x1526,,vk_html_local_structured_v14
66,rb_diesel,13738,0,2026-09-25,запись закреплена,clean,vk_announcements/rb_diesel/13738-1.jpg,vk_announcements/rb_diesel/13738-1.jpg:640x853,,vk_html_local_generic_v14_primary_date
67,rb_diesel,13733,0,2026-10-23,"MANHUNT TOUR | 23.10.2026 | ВОРОНЕЖ EMIVA представляет: MANHUNT TOUR | 23.10.2026 | ВОРОНЕЖ Охота объявлена. Ты думал, что спрячешься в толпе? Нет. Manhunt Tour настигнет тебя везде. Никаких провокаций, только самые тяже",clean,vk_announcements/rb_diesel/13733-1.jpg,vk_announcements/rb_diesel/13733-1.jpg:1080x1494,,vk_html_local_generic_v14_primary_date
